Title,URL,Reporting guideline acronym,Study design,Clinical area,Language,Reporting guideline provided for?,Applies to the whole report or to individual sections of the report?,Full bibliographic reference,PubMed ID,DOI,Date of publication / Ahead of print date,Reporting guideline website URL,Relevant URLs(full-text if available),Explanation and elaboration papers,Availability in additional languages,Relevant more generic / specialised reporting guidelines,Previous versions of this guideline / Guideline history,Additional information,Other,Selected relevant editorials,"Other relevant research(i.e. research regarding the guideline's effectiveness usability, impact etc.)",Primary guideline publication,Taxonomy terms,Record last updated on,Downloadable files (name|url),Equator-hosted files count
EACTS / ESCVS best practice guidelines for reporting treatment results in the thoracic aorta,https://www.equator-network.org/reporting-guidelines/eactsescvs-best-practice-guidelines-for-reporting-treatment-results-in-the-thoracic-aorta/,,,"Cardiovascular medicine, Surgery",English,Reporting results of treatment in the thoracic aorta,"Harms/adverse effects/safety data, Intervention (exposure), Outcomes (variables), Procedure/Method, Study characteristics (participants etc.), Terminology/definitions","Turina MI, Shennib H, Dunning J, Cheng D, Martin J, Muneretto C, Schueler S, von Segesser L, Sergeant PT; EACTS/ESCVS committee. EACTS/ESCVS best practice guidelines for reporting treatment results in the thoracic aorta. Eur J Cardiothorac Surg. 2009;35(6):927-930.",19339194,,,,,,,,,,,,,,,"August 22, 2013",,0
Consensus statement: Defining minimal criteria for reporting the systemic inflammatory response to cardiopulmonary bypass,https://www.equator-network.org/reporting-guidelines/consensus-statement-defining-minimal-criteria-for-reporting-the-systemic-inflammatory-response-to-cardiopulmonary-bypass/,,,"Cardiovascular medicine, Surgery",English,Reporting the systemic inflammatory response to cardiopulmonary bypass,"Harms/adverse effects/safety data, Intervention (exposure), Outcomes (variables)","Landis RC, Arrowsmith JE, Baker RA, de Somer F, Dobkowski WB, Fisher G, Jonas RA, Likosky DS, Murkin JM, Poullis M, Stump DA, Verrier ED. Consensus statement: Defining minimal criteria for reporting the systemic inflammatory response to cardiopulmonary bypass. Heart Surg Forum. 2008;11(5):E316-E322.",19131308,,,,,,,,,,,,,,,"August 22, 2013",,0
Standardization of uveitis nomenclature for reporting clinical data. Results of the First International Workshop,https://www.equator-network.org/reporting-guidelines/standardization-of-uveitis-nomenclature-for-reporting-clinical-data-results-of-the-first-international-workshop/,,,Ophthalmology,English,Standardization of uveitis nomenclature for reporting clinical data,"Data, Outcomes (variables), Results, Terminology/definitions","Jabs DA, Nussenblatt RB, Rosenbaum JT; Standardization of Uveitis Nomenclature (SUN) Working Group. Standardization of uveitis nomenclature for reporting clinical data. Results of the First International Workshop. Am J Ophthalmol. 2005;140(3):509-516.",16196117,,,,,,,,,,,,,,,"August 22, 2013",,0
Recommendations for uniform reporting of data following major trauma–the Utstein style,https://www.equator-network.org/reporting-guidelines/recommendations-for-uniform-reporting-of-data-following-major-trauma-the-utstein-style-a-report-of-a-working-party-of-the-international-trauma-anaesthesia-and-critical-care-society-itaccs/,,,Emergency medicine,English,Reporting of data following trauma,"Data, Ethical issues (consent etc.), Intervention (exposure), Outcomes (variables), Procedure/Method, Study characteristics (participants etc.), Terminology/definitions","Dick WF, Baskett PJ. Recommendations for uniform reporting of data following major trauma--the Utstein style. A report of a working party of the International Trauma Anaesthesia and Critical Care Society (ITACCS). Resuscitation. 1999;42(2):81-100.",10617327,,,,,,,,,,,,,,,"August 22, 2013",,0
Standards for reporting results of refractive surgery,https://www.equator-network.org/reporting-guidelines/standards-for-reporting-results-of-refractive-surgery/,,,"Ophthalmology, Surgery",English,Reporting results of refractive surgery,"Data, Outcomes (variables), Results",Rosa N. Standards for reporting results of refractive surgery. J Refract Surg. 2001;17(4):473-474.,11472009,,,,,,,,,,,,,,,"August 22, 2013",,0
Guidance on reporting ultrasound exposure conditions for bio-effects studies,https://www.equator-network.org/reporting-guidelines/reporting-ultrasound-exposure-conditions-for-bio-effects-studies/,,,Radiology,English,Reporting ultrasound exposure conditions for bio-effects studies,"Data, Harms/adverse effects/safety data, Intervention (exposure), Procedure/Method","ter Haar G, Shaw A, Pye S, Ward B, Bottomley F, Nolan R, Coady AM. Guidance on reporting ultrasound exposure conditions for bio-effects studies. Ultrasound Med Biol. 2011;37(2):177-183.",21257086,,,,,,,,,,,,,,,"August 22, 2013",,0
Target registration and target positioning errors in computer-assisted neurosurgery: proposal for a standardized reporting of error assessment,https://www.equator-network.org/reporting-guidelines/target-registration-and-target-positioning-errors-in-computer-assisted-neurosurgery-proposal-for-a-standardized-reporting-of-error-assessment/,,,"Neurology, Surgery",English,Reporting criteria for error analysis/accuracy evaluation in computer-assisted neurosurgery,"Intervention (exposure), Procedure/Method, Terminology/definitions","Widmann G, Stoffner R, Sieb M, Bale R. Target registration and target positioning errors in computer-assisted neurosurgery: proposal for a standardized reporting of error assessment. Int J Med Robot. 2009;5(4):355-365.",19565464,,,,,,,,,,,,,,,"August 22, 2013",,0
Recommended guidelines for reporting on emergency medical dispatch when conducting research in emergency medicine: the Utstein style,https://www.equator-network.org/reporting-guidelines/recommended-guidelines-for-reporting-on-emergency-medical-dispatch-when-conducting-research-in-emergency-medicine-the-utstein-style/,,,Emergency medicine,English,Reporting results from studies in emergency medicine and prehospital care,"Data, Procedure/Method, Results, Terminology/definitions","Castren M, Karlsten R, Lippert F, Christensen EF, Bovim E, Kvam AM, Robertson-Steel I, Overton J, Kraft T, Engerstrom L, Garcia-Castrill Riego L; Emergency Medical Dispatch expert group at the Utstein Consensus Symposium 2005. Recommended guidelines for reporting on emergency medical dispatch when conducting research in emergency medicine: the Utstein style. Resuscitation 2008;79(2):193-197.",18805620,,,,,,,,,,,,,,,"August 22, 2013",,0
"Recommended guidelines for reviewing, reporting, and conducting research on in-hospital resuscitation: the in-hospital ‘Utstein style’",https://www.equator-network.org/reporting-guidelines/recommended-guidelines-for-reviewing-reporting-and-conducting-research-on-in-hospital-resuscitation-the-in-hospital-utstein-style-a-statement-for-healthcare-professionals-from-the-american-hea/,,,"Cardiovascular medicine, Emergency medicine",English,Reporting research on in-hospital resuscitation,"Data, Ethical issues (consent etc.), Harms/adverse effects/safety data, Intervention (exposure), Outcomes (variables), Procedure/Method, Study characteristics (participants etc.)","Cummins RO, Chamberlain D, Hazinski MF, Nadkarni V, Kloeck W, Kramer E, Becker L, Robertson C, Koster R, Zaritsky A, Bossaert L, Ornato JP, Callanan V, Allen M, Steen P, Connolly B, Sanders A, Idris A, Cobbe S. Recommended guidelines for reviewing, reporting, and conducting research on in-hospital resuscitation: the in-hospital 'Utstein style'. A statement for healthcare professionals from the American Heart Association, the European Resuscitation Council, the Heart and Stroke Foundation of Canada, the Australian Resuscitation Council, and the Resuscitation Councils of Southern Africa. Resuscitation. 1997; 34(2):151-183.",9141159,,,,,,,,,,,,,,,"August 22, 2013",,0
"Recommended guidelines for reviewing, reporting, and conducting research on post-resuscitation care: the Utstein style",https://www.equator-network.org/reporting-guidelines/recommended-guidelines-for-reviewing-reporting-and-conducting-research-on-post-resuscitation-care-the-utstein-style/,,,Emergency medicine,English,Reporting research during the post-resuscitation period in hospital,"Data, Outcomes (variables), Procedure/Method, Study characteristics (participants etc.)","Langhelle A, Nolan J, Herlitz J, Castren M, Wenzel V, Soreide E, Engdahl J, Steen PA; 2003 Utstein Consensus Symposium. Recommended guidelines for reviewing, reporting, and conducting research on post-resuscitation care: the Utstein style. Resuscitation. 2005;66(3):271-283.",16129543,,,,,,,,,,,,,,,"August 22, 2013",,0
Utstein-style guidelines for uniform reporting of laboratory CPR research,https://www.equator-network.org/reporting-guidelines/utstein-style-guidelines-for-uniform-reporting-of-laboratory-cpr-research-a-statement-for-healthcare-professionals-from-a-task-force-of-the-american-heart-association-the-american-college-of-emergen/,,Animal pre-clinical research,Cardiovascular medicine,English,Reporting data from laboratory studies of CPR,Whole report,"Idris AH, Becker LB, Ornato JP, Hedges JR, Bircher NG, Chandra NC, Cummins RO, Dick W, Ebmeyer U, Halperin HR, Hazinski MF, Kerber RE, Kern KB, Safar P, Steen PA, Swindle MM, Tsitlik JE, von Planta I, von Planta M, Wears RL, Weil MH. Utstein-style guidelines for uniform reporting of laboratory CPR research. A statement for healthcare professionals from a task force of the American Heart Association, the American College of Emergency Physicians, the American College of Cardiology, the European Resuscitation Council, the Heart and Stroke Foundation of Canada, the Institute of Critical Care Medicine, the Safar Center for Resuscitation Research, and the Society for Academic Emergency Medicine. Writing Group. Circulation. 1996;94(9):2324-2336.",8901707,,,,,,,,,,,,,,,"February 16, 2017",,0
Calibration methods used in cancer simulation models and suggested reporting guidelines,https://www.equator-network.org/reporting-guidelines/calibration-methods-used-in-cancer-simulation-models-and-suggested-reporting-guidelines/,,,Oncology,English,Calibration methods used in cancer simulation models,"Data, Procedure/Method","Stout NK, Knudsen AB, Kong CY, McMahon PM, Gazelle GS. Calibration methods used in cancer simulation models and suggested reporting guidelines. PharmacoEconomics. 2009;27(7):533-545.",19663525,,,,,,,,,,,,,,,"August 22, 2013",,0
The lessons of QUANTEC : recommendations for reporting and gathering data on dose-volume dependencies of treatment outcome,https://www.equator-network.org/reporting-guidelines/the-lessons-of-quantec-recommendations-for-reporting-and-gathering-data-on-dose-volume-dependencies-of-treatment-outcome/,,,Oncology,English,Reporting and gathering data on dose-volume dependencies of treatment outcome,Data,"Jackson A, Marks LB, Bentzen SM, Eisbruch A, Yorke ED, Ten Haken RK, Constine LS, Deasy JO. The lessons of QUANTEC: recommendations for reporting and gathering data on dose-volume dependencies of treatment outcome. Int J Radiat Oncol Biol Phys. 2010;76(3 Suppl):S155-160.",20171512,,,,,,,,,,,,,,,"August 22, 2013",,0
Eligibility and outcomes reporting guidelines for clinical trials for patients in the state of a rising prostate-specific antigen: recommendations from the Prostate -Specific Antigen Working Group,https://www.equator-network.org/reporting-guidelines/eligibility-and-outcomes-reporting-guidelines-for-clinical-trials-for-patients-in-the-state-of-a-rising-prostate-specific-antigen-recommendations-from-the-prostate-specific-antigen-working-group/,,"Clinical trials, Experimental studies","Oncology, Urology",English,Clinical trials for patients in the state of a rising prostate-specific antigen,"Outcomes (variables), Study characteristics (participants etc.)","Scher HI, Eisenberger M, D'Amico AV, Halabi S, Small EJ, Morris M, Kattan MW, Roach M, Kantoff P, Pienta KJ, Carducci MA, Agus D, Slovin SF, Heller G, Kelly WK, Lange PH, Petrylak D, Berg W, Higano C, Wilding G, Moul JW, Partin AN, Logothetis C, Soule HR. Eligibility and outcomes reporting guidelines for clinical trials for patients in the state of a rising prostate-specific antigen: recommendations from the Prostate-Specific Antigen Working Group. J Clin Oncol. 2004;22(3):537-556.",14752077,,,,,,,,,,,,,,,"August 22, 2013",,0
How to formulate research recommendations,https://www.equator-network.org/reporting-guidelines/how-to-formulate-research-recommendations/,,,,English,Formulating research recommendations,Research recommendations,"Brown P, Brunnhuber K, Chalkidou K, Chalmers I, Clarke M, Fenton M, Forbes C, Glanville J, Hicks NJ, Moody J, Twaddle S, Timimi H, Young P. How to formulate research recommendations. BMJ. 2006;333(7572): 804-806.",17038740,,,,,,,,,,,,,,,"September 25, 2013",,0
"Diagnosis and management of acute myeloid leukemia in adults: recommendations from an international expert panel, on behalf of the European LeukemiaNet",https://www.equator-network.org/reporting-guidelines/diagnosis-and-management-of-acute-myeloid-leukemia-in-adults-recommendations-from-an-international-expert-panel-on-behalf-of-the-european-leukemianet/,,"Clinical trials, Experimental studies","Haematology, Oncology",English,Reporting system for correlation of cytogenetic and molecular genetic data with clinical data,"Intervention (exposure), Outcomes (variables), Procedure/Method","Döhner H, Estey EH, Amadori S, Appelbaum FR, Büchner T, Burnett AK, Dombret H, Fenaux P, Grimwade D, Larson RA, Lo-Coco F, Naoe T, Niederwieser D, Ossenkoppele GJ, Sanz MA, Sierra J, Tallman MS, Löwenberg B, Bloomfield CD; European LeukemiaNet. Diagnosis and management of acute myeloid leukemia in adults: recommendations from an international expert panel, on behalf of the European LeukemiaNet. Blood. 2010;115(3):453-74.",19880497,,,,,,,,,,,,,,,"August 22, 2013",,0
"Revised recommendations of the International Working Group for Diagnosis, Standardization of Response Criteria, Treatment Outcomes, and Reporting Standards for Therapeutic Trials in Acute Myeloid Leukemia",https://www.equator-network.org/reporting-guidelines/revised-recommendations-of-the-international-working-group-for-diagnosis-standardization-of-response-criteria-treatment-outcomes-and-reporting-standards-for-therapeutic-trials-in-acute-myeloid-leuk/,,"Clinical trials, Experimental studies","Haematology, Oncology",English,Therapeutic trials in acute myeloid leukaemia (AML),Whole report,"Cheson BD, Bennett JM, Kopecky KJ, Buchner T, Willman CL, Estey EH, Schiffer CA, Doehner H, Tallman MS, Lister TA, Lo-Coco F, Willemze R, Biondi A, Hiddemann W, Larson RA, Lowenberg B, Sanz MA, Head DR, Ohno R, Bloomfield CD; International Working Group for Diagnosis, Standardization of Response Criteria, Treatment Outcomes, and Reporting Standards for Therapeutic Trials in Acute Myeloid Leukemia. Revised recommendations of the International Working Group for Diagnosis, Standardization of Response Criteria, Treatment Outcomes, and Reporting Standards for Therapeutic Trials in Acute Myeloid Leukemia. J Clin Oncol. 2003;21(24):4642-4649.",14673054,,,,,,,,,,,,,,,"August 22, 2013",,0
"Exercise therapy and low back pain: insights and proposals to improve the design, conduct, and reporting of clinical trials",https://www.equator-network.org/reporting-guidelines/exercise-therapy-and-low-back-pain-insights-and-proposals-to-improve-the-design-conduct-and-reporting-of-clinical-trials/,,"Clinical trials, Experimental studies","Rheumatology, Sport and exercise medicine",English,Reporting of exercise therapies in clinical trials,"Intervention (exposure), Outcomes (variables), Study characteristics (participants etc.)","Helmhout PH, Staal JB, Maher CG, Petersen T, Rainville J, Shaw WS. Exercise therapy and low back pain: insights and proposals to improve the design, conduct, and reporting of clinical trials. Spine (Phila Pa 1976). 2008;33(16):1782-1788.",18628711,,,,,,,,,,,,,,,"March 6, 2017",,0
Clinical trials focusing on cancer pain educational interventions: core components to include during planning and reporting,https://www.equator-network.org/reporting-guidelines/clinical-trials-focusing-on-cancer-pain-educational-interventions-core-components-to-include-during-planning-and-reporting/,,"Clinical trials, Experimental studies",Oncology,English,Clinical trials in cancer pain educational interventions,Whole report,"Stiles CR, Biondo PD, Cummings G, Hagen NA. Clinical trials focusing on cancer pain educational interventions: core components to include during planning and reporting. J Pain Symptom Manage. 2010;40(2):301-308.",20541899,,,,,,,,,,,,,,,"August 22, 2013",,0
Reporting disease activity in clinical trials of patients with rheumatoid arthritis: EULAR / ACR collaborative recommendations,https://www.equator-network.org/reporting-guidelines/reporting-disease-activity-in-clinical-trials-of-patients-with-rheumatoid-arthritis-eularacr-collaborative-recommendations/,,"Clinical trials, Experimental studies",Rheumatology,English,Reporting disease activity in clinical trials of rheumatoid arthritis,"Data, Outcomes (variables)","Aletaha D, Landewe R, Karonitsch T, Bathon J, Boers M, Bombardier C, Bombardieri S, Choi H, Combe B, Dougados M, Emery P, Gomez-Reino J, Keystone E, Koch G, Kvien TK, Martin-Mola E, Matucci-Cerinic M, Michaud K, O'Dell J, Paulus H, Pincus T, Richards P, Simon L, Siegel J, Smolen JS, Sokka T, Strand V, Tugwell P, van der Heijde D, van Riel P, Vlad S, van Vollenhoven R, Ward M, Weinblatt M, Wells G, White B, Wolfe F, Zhang B, Zink A, Felson D. Reporting disease activity in clinical trials of patients with rheumatoid arthritis: EULAR/ACR collaborative recommendations. Ann Rheum Dis. 2008;67(10):1360-1364.",18791055,,,,,,,,,,,,,,,"August 22, 2013",,0
Financial Conflicts of Interest Checklist 2010 for clinical research studies,https://www.equator-network.org/reporting-guidelines/financial-conflicts-of-interest-checklist-2010-for-clinical-research-studies/,,"Clinical trials, Experimental studies",,English,Detailed reporting of different aspects of financial conflicts of interest (fCOI),Conflict of interest,"Paula A Rochon, John Hoey, An-Wen Chan, Lorraine E Ferris, Joel Lexchin, Sunila R Kalkar, Melanie Sekeres, Wei Wu, Marleen Van Laethem, Andrea Gruneir, M James Maskalyk, David L Streiner, Jennifer Gold, Nathan Taback, David Moher. Financial Conflicts of Interest Checklist 2010 for clinical research studies. Open Med. 2010;4(1):e69-91.",21686297,,,,,,,,,,,,,,,"September 24, 2013",,0
More medical journals should inform their contributors about three key principles of graph construction,https://www.equator-network.org/reporting-guidelines/more-medical-journals-should-inform-their-contributors-about-three-key-principles-of-graph-construction/,,,,English,Graph construction,Figures/Graphs,"Puhan MA, ter RG, Eichler K, Steurer J, Bachmann LM. More medical journals should inform their contributors about three key principles of graph construction. J Clin Epidemiol. 2006;59(10):1017-1022.",16980140,,,,,,,,,,,,,,,"September 25, 2013",,0
Draft STROBE checklist for conference abstracts,https://www.equator-network.org/reporting-guidelines/strobe-abstracts/,STROBE for conference abstracts,Observational studies,,English,Reporting observational studies in conference abstracts STROBE conference abstracts checklist (PDF),Conference paper/abstract,First draft of the STROBE checklist of items to be included when reporting observational studies in conference abstracts.,,,,http://www.strobe-statement.org/,The draft STROBE checklist for conference abstracts is available from: full text PDF,,,"Generic STROBE Statement: von Elm E, Altman DG, Egger M, Pocock SJ, Gotzsche PC, Vandenbroucke JP. The Strengthening the Reporting of Observational Studies in Epidemiology (STROBE) Statement: guidelines for reporting observational studies. Ann Intern Med. 2007;147(8):573-577. PMID: 17938396 PLoS Med. 2007;4(10):e296. PMID: 17941714 BMJ. 2007;335(7624):806-808. PMID: 17947786 Prev Med. 2007;45(4):247-251. PMID: 17950122 Epidemiology. 2007;18(6):800-804. PMID: 18049194 Lancet. 2007;370(9596):1453-1457. PMID: 18064739 Specialised STREGA: Little J, Higgins JP, Ioannidis JP, Moher D, Gagnon F, von Elm E, Khoury MJ, Cohen B, Davey-Smith G, Grimshaw J, Scheet P, Gwinn M, Williamson RE, Zou GY, Hutchings K, Johnson CY, Tait V, Wiens M, Golding J, van Duijn C, McLaughlin J, Paterson A, Wells G, Fortier I, Freedman M, Zecevic M, King R, Infante-Rivard C, Stewart A, Birkett N; STrengthening the REporting of Genetic Association Studies. STrengthening the REporting of Genetic Association Studies (STREGA): An Extension of the STROBE Statement. PLoS Med. 2009;6(2):e22. PMID: 19192942 Hum Genet. 2009;125(2):131-151. PMID: 19184668 Eur J Epidemiol. 2009;24(1):37-55. PMID: 19189221 Ann Intern Med. 2009;150(3):206-215. PMID: 19189911 J Clin Epidemiol. 2009;62(6):597-608.e4. PMID: 19217256 Genet Epidemiol. 2009;33(7):581-598. PMID: 19278015 Eur J Clin Invest. 2009;39(4):247-266. PMID: 19297801 STROBE-ME: Gallo V, Egger M, McCormack V, Farmer PB, Ioannidis JP, Kirsch-Volders M, Matullo G, Phillips DH, Schoket B, Stromberg U, Vermeulen R, Wild C, Porta M, Vineis P. STrengthening the Reporting of OBservational studies in Epidemiology - Molecular Epidemiology (STROBE-ME): An extension of the STROBE statement. Eur J Clin Invest. 2012;42(1):1-16. PMID: 22023344 STROME-ID: Field N, Cohen T, Struelens MJ, Palm D, Cookson B, Glynn JR, Gallo V, Ramsay M, Sonnenberg P, Maccannell D, Charlett A, Egger M, Green J, Vineis P, Abubakar I. Strengthening the Reporting of Molecular Epidemiology for Infectious Diseases (STROME-ID): an extension of the STROBE statement. Lancet Infect Dis. 2014. pii: S1473-3099(13)70324-4. doi: 10.1016/S1473-3099(13)70324-4. PMID: 24631223 Longitudinal observational drug studies in rheumatology: Zavada J, Dixon WG, Askling J. Launch of a checklist for reporting longitudinal observational drug studies in rheumatology: a EULAR extension of STROBE guidelines based on experience from biologics registries. Ann Rheum Dis. 2014;73(3):628. PMID: 24058015 Case-cohort studies: Sharp SJ, Poulaliou M, Thompson SG, White IR, Wood AM. A review of published analyses of case-cohort studies and recommendations for future reporting. PLoS One. 2014;9(6):e101176. PMID: 24972092 STROBE-RDS: White RG, Hakim AJ, Salganik MJ, Spiller MW, Johnston LG, Kerr L, Kendall C, Drake A, Wilson D, Orroth K, Egger M, Hladik W. Strengthening the Reporting of Observational Studies in Epidemiology for respondent-driven sampling studies: ""STROBE-RDS"" statement. J Clin Epidemiol. 2015 May 1. PMID: 26112433 RECORD: Benchimol EI, Smeeth L, Guttmann A, Harron K, Moher D, Petersen I, Sørensen HT, von Elm E, Langan SM; RECORD Working Committee. The REporting of studies Conducted using Observational Routinely-collected health Data (RECORD) Statement. PLoS Med. 2015;12(10):e1001885. PMID: 26440803 STROBE-AMS: Tacconelli E, Cataldo MA, Paul M, Leibovici L, Kluytmans J, Schröder W, Foschi F, De Angelis G, De Waure C, Cadeddu C, Mutters NT, Gastmeier P, Cookson B. STROBE-AMS: recommendations to optimise reporting of epidemiological studies on antimicrobial resistance and informing improvement in antimicrobial stewardship. BMJ Open. 2016;6(2):e010134. PMID: 26895985 STROBE-nut: Lachat C, Hawwash D, Ocké MC, Berg C, Forsum E, Hörnell A, Larsson C, Sonestedt E, Wirfält E, Åkesson A, Kolsteren P, Byrnes G, De Keyzer W, Van Camp J, Cade JE, Slimani N, Cevallos M, Egger M, Huybrechts I. Strengthening the Reporting of Observational Studies in Epidemiology—Nutritional Epidemiology (STROBE-nut): An Extension of the STROBE Statement. PLoS Med; 2016:13(6):e1002036. PMID: 27270749 Simulation Research: Cheng A, Kessler D, Mackinnon R, Chang TP, Nadkarni VM, Hunt EA, Duval-Arnould J, Lin Y, Cook DA, Pusic M, Hui J, Moher D, Egger M, Auerbach M; International Network for Simulation-based Pediatric Innovation, Research, and Education (INSPIRE) Reporting Guidelines Investigators. Reporting Guidelines for Health Care Simulation Research: Extensions to the CONSORT and STROBE Statements. Simul Healthc. 2016;11(4):238-248. PMID: 27465839 ROSES-I: Horby PW, Laurie KL, Cowling BJ, Engelhardt OG, Sturm-Ramirez K, Sanchez JL, Katz JM, Uyeki TM, Wood J, Van Kerkhove MD; CONSISE Steering Committee. CONSISE statement on the reporting of Seroepidemiologic Studies for influenza (ROSES-I statement): an extension of the STROBE statement. Influenza Other Respir Viruses. 2016 Jul 15. PMID: 27417916 STROBE-NI: Fitchett EJA, Seale AC, Vergnano S, Sharland M, Heath PT, Saha SK, Agarwal R, Ayede AI, Bhutta ZA, Black R, Bojang K, Campbell H, Cousens S, Darmstadt GL, Madhi SA, Meulen AS, Modi N, Patterson J, Qazi S, Schrag SJ, Stoll BJ, Wall SN, Wammanda RD, Lawn JE, on behalf of the SPRING (Strengthening Publications Reporting Infection in Newborns Globally) Group. Strengthening the Reporting of Observational Studies in Epidemiology for Newborn Infection (STROBE-NI): an extension of the STROBE statement for neonatal infection research. Lancet Infect Dis. 2016;16(10):e202-13. PMID: 27633910 Propensity score analysis: Yao XI, Wang X, Speicher PJ, Hwang ES, Cheng P, Harpole DH, Berry MF, Schrag D, Pang HH. Reporting and Guidelines in Propensity Score Analysis: A Systematic Review of Cancer and Cancer Surgical Studies. J Natl Cancer Inst. 2017;109(8). PMID: 28376195 RECORD-PE: Langan SM, Schmidt SAJ, Wing K, Ehrenstein V, Nicholls SG, Filion KB, Klungel O, Petersen I, Sorensen HT, Dixon WG, Guttmann A, Harron K, Hemkens LG, Moher D, Schneeweiss S, Smeeth L, Sturkenboom M, von Elm E, Wang SV, Benchimol EI. The reporting of studies conducted using observational routinely collected health data statement for pharmacoepidemiology (RECORD-PE). BMJ 2018;363:k3532. STROBE-SIIS: International Olympic Committee Injury and Illness Epidemiology Consensus Group, Bahr R, Clarsen B, Derman W, Dvorak J, Emery CA, Finch CF, Hägglund M, Junge A, Kemp S, Khan KM, Marshall SW, Meeuwisse W, Mountjoy M, Orchard JW, Pluim B, Quarrie KL, Reider B, Schwellnus M, Soligard T, Stokes KA, Timpka T, Verhagen E, Bindra A, Budgett R, Engebretsen L, Erdener U, Chamari K. International Olympic Committee Consensus Statement: Methods for Recording and Reporting of Epidemiological Data on Injury and Illness in Sports 2020 (Including the STROBE Extension for Sports Injury and Illness Surveillance (STROBE-SIIS)). Br J Sports Med. 2020;54(7):372-389. PMID: 32071062 Orthop J Sports Med. 2020;8(2):2325967120902908. PMID: 32118084 STROBE-MR: Skrivankova VW, Richmond RC, Woolf BAR, Yarmolinsky J, Davies NM, Swanson SA, VanderWeele TJ, Higgins JPT, Timpson NJ, Dimou N, Langenberg C, Golub RM, Loder EW, Gallo V, Tybjaerg-Hansen A, Davey Smith G, Egger M, Richards JB. Strengthening the Reporting of Observational Studies in Epidemiology Using Mendelian Randomization: The STROBE-MR Statement. JAMA. 2021;326(16):1614-1621. PMID: 34698778",,,,,,,,"November 25, 2021",,0
Suggestions for improving the reporting of clinical research: the role of narrative,https://www.equator-network.org/reporting-guidelines/suggestions-for-improving-the-reporting-of-clinical-research-the-role-of-narrative/,,"Clinical trials, Diagnostic and prognostic studies, Experimental studies, Observational studies",,English,Narrative in reports of medical research,Narrative sections (discussion etc.),Schriger DL. Suggestions for improving the reporting of clinical research: the role of narrative. Ann Emerg Med. 2005;45(4):437-443.,15795727,,,,,,,,,,,,,,,"September 25, 2013",,0
Methodological challenges when using actigraphy in research,https://www.equator-network.org/reporting-guidelines/methodological-challenges-when-using-actigraphy-in-research/,,,"Behavioural medicine, Neurology, Psychiatry",English,Actigraphy information to include in research reports,"Data, Intervention (exposure), Outcomes (variables), Procedure/Method, Study characteristics (participants etc.)","Berger AM, Wielgus KK, Young-McCaughan S, Fischer P, Farr L, Lee KA. Methodological challenges when using actigraphy in research. J Pain Symptom Manage. 2008;36(2):191-199.",18400460,,,,,,,,,,,,,,,"September 24, 2013",,0
Consensus guidelines for the conduct and reporting of clinical trials in systemic light-chain amyloidosis,https://www.equator-network.org/reporting-guidelines/consensus-guidelines-for-the-conduct-and-reporting-of-clinical-trials-in-systemic-light-chain-amyloidosis/,,"Clinical trials, Experimental studies","Haematology, Oncology",English,Clinical trials in systemic light-chain amyloidosis,"Outcomes (variables), Procedure/Method, Study characteristics (participants etc.)","Comenzo RL, Reece D, Palladini G, Seldin D, Sanchorawala V, Landau H, Falk R, Wells K, Solomon A, Wechalekar A, Zonder J, Dispenzieri A, Gertz M, Streicher H, Skinner M, Kyle RA, Merlini G. Consensus guidelines for the conduct and reporting of clinical trials in systemic light-chain amyloidosis. Leukemia. 2012;26(11):2317-2325.",22475872,,,,,,,,,,,,,,,"June 24, 2015",,0
The case for structuring the discussion of scientific papers,https://www.equator-network.org/reporting-guidelines/the-case-for-structuring-the-discussion-of-scientific-papers/,,,,English,The discussion section of scientific papers,Narrative sections (discussion etc.),"Docherty M, Smith R. The case for structuring the discussion of scientific papers. BMJ. 1999;318(7193):1224-1225.",10231230,,,,,,,,,,,,,,,"September 25, 2013",,0
Preschool vision screening: what should we be detecting and how should we report it? Uniform guidelines for reporting results of preschool vision screening studies,https://www.equator-network.org/reporting-guidelines/preschool-vision-screening-what-should-we-be-detecting-and-how-should-we-report-it-uniform-guidelines-for-reporting-results-of-preschool-vision-screening-studies/,,,"Ophthalmology, Paediatrics",English,Reporting results of preschool vision screening studies,"Data, Results, Study characteristics (participants etc.)","Donahue SP, Arnold RW, Ruben JB; AAPOS Vision Screening Committee. Preschool vision screening: what should we be detecting and how should we report it? Uniform guidelines for reporting results of preschool vision screening studies. J AAPOS. 2003;7(5):314-316.",14566312,,,,,,,,,,,,,,,"August 22, 2013",,0
Professional medical associations and their relationships with industry: a proposal for controlling conflict of interest,https://www.equator-network.org/reporting-guidelines/professional-medical-associations-and-their-relationships-with-industry-a-proposal-for-controlling-conflict-of-interest/,,,,English,Reducing or eliminating conflicts of interest,Conflict of interest,"Rothman DJ, McDonald WJ, Berkowitz CD, Chimonas SC, DeAngelis CD, Hale RW, Nissen SE, Osborn JE, Scully JH Jr, Thomson GE, Wofsy D. Professional medical associations and their relationships with industry: a proposal for controlling conflict of interest. JAMA. 2009;301(13):1367-1372.",19336712,,,,,,,,,,,,,,,"September 24, 2013",,0
